x,y,delta
0,0,3.78E-08
0.5,0,3.78E-08
1,0,3.78E-08
0,0.5,3.78E-08
0.5,0.5,3.78E-08
1,0.5,3.78E-08
0,1,3.78E-08
0.5,1,3.78E-08
1,1,3.78E-08
